IG,cNN,normal,0.0001,17.361,23.132,22.101,20.173,20.367,15.368
LRP,cNN,normal,0.0001,18.087,23.132,22.101,20.524,20.705,15.632
LIME,cNN,normal,0.0001,18.087,17.361,22.101,18.748,17.784,15.469
Random,cNN,normal,0.0001,18.087,17.361,23.132,18.514,17.92,15.601

