cNN,weak,0,5.677824267782427
cNN,weak,0.0001,5.589958158995816
cNN,weak,0.001,4.99163179916318
cNN,weak,0.01,3.00418410041841
cNN,weak,0.1,0.4393305439330544
cNN,normal,0,5.7405857740585775
cNN,normal,0.0001,5.7112970711297075
cNN,normal,0.001,5.368200836820083
cNN,normal,0.01,3.920502092050209
cNN,normal,0.1,1.0878661087866108
cNN,strong,0,5.99163179916318
cNN,strong,0.0001,5.97489539748954
cNN,strong,0.001,5.7489539748953975
cNN,strong,0.01,4.652719665271967
cNN,strong,0.1,1.8828451882845187
cNN,weak,0,5.598326359832636
cNN,weak,0.0001,5.514644351464435
cNN,weak,0.001,4.912133891213389
cNN,weak,0.01,2.98744769874477
cNN,weak,0.1,0.4393305439330544
cNN,normal,0,5.682008368200837
cNN,normal,0.0001,5.656903765690377
cNN,normal,0.001,5.326359832635983
cNN,normal,0.01,3.8912133891213387
cNN,normal,0.1,1.0669456066945606
cNN,strong,0,5.928870292887029
cNN,strong,0.0001,5.916317991631799
cNN,strong,0.001,5.682008368200837
cNN,strong,0.01,4.623430962343096
cNN,strong,0.1,1.8577405857740585
