cNN,weak,0,14.0,14.0
cNN,weak,0.0001,14.0,13.958
cNN,weak,0.001,14.0,13.398
cNN,weak,0.01,14.0,9.128
cNN,weak,0.1,14.0,0.0
cNN,normal,0,14.0,14.0
cNN,normal,0.0001,14.0,13.958
cNN,normal,0.001,14.0,13.398
cNN,normal,0.01,14.0,9.128
cNN,normal,0.1,14.0,0.0
cNN,strong,0,14.0,14.0
cNN,strong,0.0001,14.0,13.958
cNN,weak,0,14.0,14.0
cNN,weak,0.0001,14.0,13.958
cNN,weak,0.001,14.0,13.398
cNN,weak,0.01,14.0,9.128
cNN,weak,0.1,14.0,0.0
cNN,normal,0,14.0,14.0
cNN,normal,0.0001,14.0,13.958
cNN,normal,0.001,14.0,13.398
cNN,normal,0.01,14.0,9.128
cNN,normal,0.1,14.0,0.0
cNN,strong,0,14.0,14.0
cNN,strong,0.0001,14.0,13.958
cNN,strong,0.001,14.0,13.398
cNN,strong,0.01,14.0,9.128
cNN,strong,0.1,14.0,0.0
